Date,Time,Temp.F,Batt.V
2014/6/16,3:15:00 AM,72.869,3.57
2014/6/16,3:30:00 AM,72.826,3.57
2014/6/16,3:45:00 AM,72.739,3.57
2014/6/16,4:00:00 AM,72.48,3.57
2014/6/16,4:15:00 AM,72.221,3.54
2014/6/16,4:30:00 AM,71.834,3.54
2014/6/16,4:45:00 AM,70.887,3.54
2014/6/16,5:00:00 AM,70.63,3.54
2014/6/16,5:15:00 AM,70.459,3.54
2014/6/16,5:30:00 AM,70.286,3.54
2014/6/16,5:45:00 AM,69.814,3.54
2014/6/16,6:00:00 AM,69.042,3.54
2014/6/16,6:15:00 AM,68.698,3.54
2014/6/16,6:30:00 AM,68.698,3.54
2014/6/16,6:45:00 AM,68.657,3.54
2014/6/16,7:00:00 AM,68.571,3.54
2014/6/16,7:15:00 AM,68.484,3.54
2014/6/16,7:30:00 AM,68.4,3.54
2014/6/16,7:45:00 AM,68.356,3.54
2014/6/16,8:00:00 AM,68.356,3.54
2014/6/16,8:15:00 AM,68.484,3.54
2014/6/16,8:30:00 AM,68.443,3.54
2014/6/16,8:45:00 AM,68.443,3.54
2014/6/16,9:00:00 AM,68.571,3.54
2014/6/16,9:15:00 AM,68.785,3.54
2014/6/16,9:30:00 AM,68.956,3.54
2014/6/16,9:45:00 AM,68.913,3.54
2014/6/16,10:00:00 AM,68.956,3.54
2014/6/16,10:15:00 AM,69.085,3.54
2014/6/16,10:30:00 AM,69.3,3.54
2014/6/16,10:45:00 AM,69.685,3.54
2014/6/16,11:00:00 AM,70.072,3.54
2014/6/16,11:15:00 AM,70.459,3.54
2014/6/16,11:30:00 AM,70.803,3.54
2014/6/16,11:45:00 AM,71.103,3.54
2014/6/16,12:00:00 PM,71.361,3.54
2014/6/16,12:15:00 PM,71.62,3.54
2014/6/16,12:30:00 PM,71.92,3.54
2014/6/16,12:45:00 PM,72.221,3.54
2014/6/16,1:00:00 PM,72.523,3.54
2014/6/16,1:15:00 PM,72.739,3.54
2014/6/16,1:30:00 PM,72.912,3.57
2014/6/16,1:45:00 PM,73.083,3.57
2014/6/16,2:00:00 PM,73.17,3.57
2014/6/16,2:15:00 PM,73.299,3.57
2014/6/16,2:30:00 PM,73.342,3.57
2014/6/16,2:45:00 PM,73.342,3.57
2014/6/16,3:00:00 PM,73.429,3.57
2014/6/16,3:15:00 PM,73.429,3.57
2014/6/16,3:30:00 PM,73.472,3.57
2014/6/16,3:45:00 PM,73.429,3.57
2014/6/16,4:00:00 PM,73.429,3.54
2014/6/16,4:15:00 PM,73.472,3.57
2014/6/16,4:30:00 PM,73.429,3.57
2014/6/16,4:45:00 PM,73.386,3.57
2014/6/16,5:00:00 PM,73.429,3.57
2014/6/16,5:15:00 PM,73.429,3.57
2014/6/16,5:30:00 PM,73.429,3.57
2014/6/16,5:45:00 PM,73.386,3.57
2014/6/16,6:00:00 PM,73.256,3.57
2014/6/16,6:15:00 PM,73.083,3.57
2014/6/16,6:30:00 PM,72.955,3.57
2014/6/16,6:45:00 PM,72.783,3.57
2014/6/16,7:00:00 PM,72.48,3.54
2014/6/16,7:15:00 PM,72.264,3.54
2014/6/16,7:30:00 PM,72.221,3.54
2014/6/16,7:45:00 PM,72.05,3.54
2014/6/16,8:00:00 PM,71.834,3.54
2014/6/16,8:15:00 PM,71.577,3.54
2014/6/16,8:30:00 PM,71.274,3.54
2014/6/16,8:45:00 PM,71.017,3.54
2014/6/16,9:00:00 PM,70.803,3.54
2014/6/16,9:15:00 PM,70.587,3.54
2014/6/16,9:30:00 PM,70.416,3.54
2014/6/16,9:45:00 PM,70.286,3.54
2014/6/16,10:00:00 PM,70.329,3.54
2014/6/16,10:15:00 PM,70.243,3.54
2014/6/16,10:30:00 PM,70.243,3.54
2014/6/16,10:45:00 PM,70.243,3.54
2014/6/16,11:00:00 PM,70.372,3.54
2014/6/16,11:15:00 PM,70.543,3.54
2014/6/16,11:30:00 PM,70.673,3.54
2014/6/16,11:45:00 PM,70.803,3.54
2014/6/17,12:00:00 AM,70.93,3.54
2014/6/17,12:15:00 AM,71.06,3.54
2014/6/17,12:30:00 AM,71.146,3.54
2014/6/17,12:45:00 AM,71.19,3.54
2014/6/17,1:00:00 AM,71.231,3.54
2014/6/17,1:15:00 AM,71.274,3.54
2014/6/17,1:30:00 AM,71.274,3.54
2014/6/17,1:45:00 AM,71.274,3.54
2014/6/17,2:00:00 AM,71.317,3.54
2014/6/17,2:15:00 AM,71.317,3.54
2014/6/17,2:30:00 AM,71.361,3.54
2014/6/17,2:45:00 AM,71.361,3.54
2014/6/17,3:00:00 AM,71.361,3.54
2014/6/17,3:15:00 AM,71.274,3.54
2014/6/17,3:30:00 AM,71.231,3.54
2014/6/17,3:45:00 AM,71.146,3.54
2014/6/17,4:00:00 AM,71.103,3.54
2014/6/17,4:15:00 AM,71.017,3.54
2014/6/17,4:30:00 AM,70.846,3.54
2014/6/17,4:45:00 AM,70.716,3.54
2014/6/17,5:00:00 AM,70.587,3.54
2014/6/17,5:15:00 AM,70.372,3.54
2014/6/17,5:30:00 AM,70.115,3.54
2014/6/17,5:45:00 AM,69.728,3.54
2014/6/17,6:00:00 AM,69.386,3.54
2014/6/17,6:15:00 AM,69.213,3.54
2014/6/17,6:30:00 AM,69.085,3.54
2014/6/17,6:45:00 AM,68.828,3.54
2014/6/17,7:00:00 AM,68.484,3.54
2014/6/17,7:15:00 AM,68.099,3.51
2014/6/17,7:30:00 AM,67.885,3.54
2014/6/17,7:45:00 AM,67.842,3.54
2014/6/17,8:00:00 AM,67.798,3.54
2014/6/17,8:15:00 AM,67.798,3.54
2014/6/17,8:30:00 AM,67.842,3.54
2014/6/17,8:45:00 AM,67.928,3.54
2014/6/17,9:00:00 AM,67.842,3.54
2014/6/17,9:15:00 AM,67.928,3.54
2014/6/17,9:30:00 AM,68.4,3.54
2014/6/17,9:45:00 AM,68.356,3.54
2014/6/17,10:00:00 AM,68.657,3.54
2014/6/17,10:15:00 AM,68.828,3.54
2014/6/17,10:30:00 AM,69.042,3.54
2014/6/17,10:45:00 AM,69.256,3.54
2014/6/17,11:00:00 AM,69.6,3.54
2014/6/17,11:15:00 AM,69.858,3.54
2014/6/17,11:30:00 AM,70.072,3.54
2014/6/17,11:45:00 AM,70.286,3.54
2014/6/17,12:00:00 PM,70.543,3.54
2014/6/17,12:15:00 PM,70.803,3.54
2014/6/17,12:30:00 PM,71.103,3.54
2014/6/17,12:45:00 PM,71.317,3.54
2014/6/17,1:00:00 PM,71.49,3.54
2014/6/17,1:15:00 PM,71.661,3.54
2014/6/17,1:30:00 PM,71.834,3.54
2014/6/17,1:45:00 PM,71.964,3.54
2014/6/17,2:00:00 PM,72.093,3.54
2014/6/17,2:15:00 PM,72.264,3.54
2014/6/17,2:30:00 PM,72.394,3.54
2014/6/17,2:45:00 PM,72.523,3.54
2014/6/17,3:00:00 PM,72.567,3.54
2014/6/17,3:15:00 PM,72.696,3.54
2014/6/17,3:30:00 PM,72.739,3.57
2014/6/17,3:45:00 PM,72.869,3.57
2014/6/17,4:00:00 PM,72.912,3.57
2014/6/17,4:15:00 PM,72.997,3.57
2014/6/17,4:30:00 PM,72.955,3.57
2014/6/17,4:45:00 PM,72.997,3.57
2014/6/17,5:00:00 PM,73.04,3.57
2014/6/17,5:15:00 PM,72.869,3.57
2014/6/17,5:30:00 PM,72.826,3.54
2014/6/17,5:45:00 PM,72.783,3.57
2014/6/17,6:00:00 PM,72.739,3.57
2014/6/17,6:15:00 PM,72.739,3.54
2014/6/17,6:30:00 PM,72.61,3.54
2014/6/17,6:45:00 PM,72.48,3.54
2014/6/17,7:00:00 PM,72.48,3.54
2014/6/17,7:15:00 PM,72.48,3.54
2014/6/17,7:30:00 PM,72.351,3.54
2014/6/17,7:45:00 PM,72.178,3.54
2014/6/17,8:00:00 PM,72.221,3.54
2014/6/17,8:15:00 PM,72.307,3.54
2014/6/17,8:30:00 PM,72.264,3.54
2014/6/17,8:45:00 PM,72.007,3.54
2014/6/17,9:00:00 PM,71.704,3.54
