Date,Time,Temp.C
2010/1/8,21:30,9.51
2010/1/8,21:45,9.49
2010/1/8,22:00,9.49
2010/1/8,22:15,9.49
2010/1/8,22:30,9.49
2010/1/8,22:45,9.49
2010/1/8,23:00,9.49
2010/1/8,23:15,9.49
2010/1/8,23:30,9.49
2010/1/8,23:45,9.49
2010/1/9,0:00,9.49
2010/1/9,0:15,9.49
2010/1/9,0:30,9.49
2010/1/9,0:45,9.49
2010/1/9,1:00,9.49
2010/1/9,1:15,9.49
2010/1/9,1:30,9.49
2010/1/9,1:45,9.49
2010/1/9,2:00,9.46
2010/1/9,2:15,9.46
2010/1/9,2:30,9.46
2010/1/9,2:45,9.46
2010/1/9,3:00,9.46
2010/1/9,3:15,9.44
2010/1/9,3:30,9.44
2010/1/9,3:45,9.41
2010/1/9,4:00,9.41
2010/1/9,4:15,9.41
2010/1/9,4:30,9.41
2010/1/9,4:45,9.39
2010/1/9,5:00,9.39
2010/1/9,5:15,9.36
2010/1/9,5:30,9.36
2010/1/9,5:45,9.36
2010/1/9,6:00,9.36
2010/1/9,6:15,9.36
2010/1/9,6:30,9.36
2010/1/9,6:45,9.36
2010/1/9,7:00,9.36
2010/1/9,7:15,9.36
2010/1/9,7:30,9.36
2010/1/9,7:45,9.36
2010/1/9,8:00,9.36
2010/1/9,8:15,9.36
2010/1/9,8:30,9.36
2010/1/9,8:45,9.36
2010/1/9,9:00,9.34
2010/1/9,9:15,9.36
2010/1/9,9:30,9.36
2010/1/9,9:45,9.36
2010/1/9,10:00,9.39
2010/1/9,10:15,9.39
2010/1/9,10:30,9.39
2010/1/9,10:45,9.39
2010/1/9,11:00,9.41
2010/1/9,11:15,9.41
2010/1/9,11:30,9.41
2010/1/9,11:45,9.41
2010/1/9,12:00,9.41
2010/1/9,12:15,9.44
2010/1/9,12:30,9.44
2010/1/9,12:45,9.44
2010/1/9,13:00,9.44
2010/1/9,13:15,9.44
2010/1/9,13:30,9.46
2010/1/9,13:45,9.46
2010/1/9,14:00,9.44
2010/1/9,14:15,9.44
2010/1/9,14:30,9.44
2010/1/9,14:45,9.44
2010/1/9,15:00,9.44
2010/1/9,15:15,9.44
2010/1/9,15:30,9.44
2010/1/9,15:45,9.46
2010/1/9,16:00,9.46
2010/1/9,16:15,9.46
2010/1/9,16:30,9.46
2010/1/9,16:45,9.46
2010/1/9,17:00,9.44
2010/1/9,17:15,9.44
2010/1/9,17:30,9.46
2010/1/9,17:45,9.46
2010/1/9,18:00,9.46
2010/1/9,18:15,9.46
2010/1/9,18:30,9.46
2010/1/9,18:45,9.46
2010/1/9,19:00,9.46
2010/1/9,19:15,9.44
2010/1/9,19:30,9.44
2010/1/9,19:45,9.41
2010/1/9,20:00,9.39
2010/1/9,20:15,9.39
2010/1/9,20:30,9.39
2010/1/9,20:45,9.36
2010/1/9,21:00,9.36
2010/1/9,21:15,9.36
2010/1/9,21:30,9.36
2010/1/9,21:45,9.36
2010/1/9,22:00,9.36
2010/1/9,22:15,9.36
2010/1/9,22:30,9.36
2010/1/9,22:45,9.36
2010/1/9,23:00,9.36
2010/1/9,23:15,9.36
2010/1/9,23:30,9.36
2010/1/9,23:45,9.34
2010/1/10,0:00,9.34
2010/1/10,0:15,9.36
2010/1/10,0:30,9.36
2010/1/10,0:45,9.36
2010/1/10,1:00,9.36
2010/1/10,1:15,9.36
2010/1/10,1:30,9.36
2010/1/10,1:45,9.36
2010/1/10,2:00,9.36
2010/1/10,2:15,9.36
2010/1/10,2:30,9.36
2010/1/10,2:45,9.34
2010/1/10,3:00,9.36
2010/1/10,3:15,9.36
2010/1/10,3:30,9.34
2010/1/10,3:45,9.34
2010/1/10,4:00,9.34
2010/1/10,4:15,9.34
2010/1/10,4:30,9.34
2010/1/10,4:45,9.34
2010/1/10,5:00,9.34
2010/1/10,5:15,9.34
2010/1/10,5:30,9.34
2010/1/10,5:45,9.34
2010/1/10,6:00,9.34
2010/1/10,6:15,9.34
2010/1/10,6:30,9.31
2010/1/10,6:45,9.31
2010/1/10,7:00,9.31
2010/1/10,7:15,9.31
2010/1/10,7:30,9.31
2010/1/10,7:45,9.31
2010/1/10,8:00,9.31
2010/1/10,8:15,9.34
2010/1/10,8:30,9.34
2010/1/10,8:45,9.31
2010/1/10,9:00,9.31
2010/1/10,9:15,9.31
2010/1/10,9:30,9.31
2010/1/10,9:45,9.31
2010/1/10,10:00,9.31
2010/1/10,10:15,9.31
2010/1/10,10:30,9.34
2010/1/10,10:45,9.34
2010/1/10,11:00,9.34
2010/1/10,11:15,9.34
2010/1/10,11:30,9.34
2010/1/10,11:45,9.34
2010/1/10,12:00,9.34
2010/1/10,12:15,9.34
2010/1/10,12:30,9.36
2010/1/10,12:45,9.36
2010/1/10,13:00,9.36
2010/1/10,13:15,9.39
2010/1/10,13:30,9.41
2010/1/10,13:45,9.41
2010/1/10,14:00,9.44
2010/1/10,14:15,9.39
2010/1/10,14:30,9.41
2010/1/10,14:45,9.41
2010/1/10,15:00,9.41
2010/1/10,15:15,9.41
2010/1/10,15:30,9.41
2010/1/10,15:45,9.41
2010/1/10,16:00,9.41
2010/1/10,16:15,9.41
2010/1/10,16:30,9.44
2010/1/10,16:45,9.44
2010/1/10,17:00,9.44
2010/1/10,17:15,9.41
2010/1/10,17:30,9.41
2010/1/10,17:45,9.39
2010/1/10,18:00,9.39
